
Model Run System Date and Time: Fri 30-Aug-2013 13:03:03

Scenario,Replicate,ModelDate,getReachSymbol,getSpecies,getLifestageSymbol,Count,MeanLength,TotalWeight,MeanWeight
1,1,11/02/2005,DogGulch,OMykiss,Prespawn,0,0,0,0
1,1,11/02/2005,SpawnArea4,OMykiss,Juvenile,0,0,0,0
1,1,11/02/2005,SpawnArea4,OMykiss,Adult,0,0,0,0
1,1,11/02/2005,SpawnArea4,OMykiss,Presmolt,0,0,0,0
1,1,11/02/2005,SpawnArea4,OMykiss,Smolt,0,0,0,0
1,1,11/02/2005,SpawnArea4,OMykiss,Prespawn,0,0,0,0
1,1,11/02/2005,Kanaka,OMykiss,Juvenile,0,0,0,0
1,1,11/02/2005,Kanaka,OMykiss,Adult,0,0,0,0
1,1,11/02/2005,Kanaka,OMykiss,Presmolt,0,0,0,0
1,1,11/02/2005,Kanaka,OMykiss,Smolt,0,0,0,0
1,1,11/02/2005,Kanaka,OMykiss,Prespawn,0,0,0,0
1,1,11/02/2005,AboveIgo,OMykiss,Juvenile,0,0,0,0
1,1,11/02/2005,AboveIgo,OMykiss,Adult,0,0,0,0
1,1,11/02/2005,AboveIgo,OMykiss,Presmolt,0,0,0,0
1,1,11/02/2005,AboveIgo,OMykiss,Smolt,0,0,0,0
1,1,11/02/2005,AboveIgo,OMykiss,Prespawn,0,0,0,0
1,1,11/03/2005,DogGulch,OMykiss,Juvenile,0,0,0,0
1,1,11/03/2005,DogGulch,OMykiss,Adult,0,0,0,0
1,1,11/03/2005,DogGulch,OMykiss,Presmolt,0,0,0,0
1,1,11/03/2005,DogGulch,OMykiss,Smolt,0,0,0,0
1,1,11/03/2005,DogGulch,OMykiss,Prespawn,0,0,0,0
1,1,11/03/2005,SpawnArea4,OMykiss,Juvenile,0,0,0,0
1,1,11/03/2005,SpawnArea4,OMykiss,Adult,0,0,0,0
1,1,11/03/2005,SpawnArea4,OMykiss,Presmolt,0,0,0,0
1,1,11/03/2005,SpawnArea4,OMykiss,Smolt,0,0,0,0
1,1,11/03/2005,SpawnArea4,OMykiss,Prespawn,0,0,0,0
1,1,11/03/2005,Kanaka,OMykiss,Juvenile,0,0,0,0
1,1,11/03/2005,Kanaka,OMykiss,Adult,0,0,0,0
1,1,11/03/2005,Kanaka,OMykiss,Presmolt,0,0,0,0
1,1,11/03/2005,Kanaka,OMykiss,Smolt,0,0,0,0
1,1,11/03/2005,Kanaka,OMykiss,Prespawn,0,0,0,0
1,1,11/03/2005,AboveIgo,OMykiss,Juvenile,0,0,0,0
1,1,11/03/2005,AboveIgo,OMykiss,Adult,0,0,0,0
1,1,11/03/2005,AboveIgo,OMykiss,Presmolt,0,0,0,0
1,1,11/03/2005,AboveIgo,OMykiss,Smolt,0,0,0,0
1,1,11/03/2005,AboveIgo,OMykiss,Prespawn,0,0,0,0
1,1,11/04/2005,DogGulch,OMykiss,Juvenile,0,0,0,0
1,1,11/04/2005,DogGulch,OMykiss,Adult,0,0,0,0
1,1,11/04/2005,DogGulch,OMykiss,Presmolt,0,0,0,0
1,1,11/04/2005,DogGulch,OMykiss,Smolt,0,0,0,0
1,1,11/04/2005,DogGulch,OMykiss,Prespawn,0,0,0,0
1,1,11/04/2005,SpawnArea4,OMykiss,Juvenile,0,0,0,0
1,1,11/04/2005,SpawnArea4,OMykiss,Adult,0,0,0,0
1,1,11/04/2005,SpawnArea4,OMykiss,Presmolt,0,0,0,0
1,1,11/04/2005,SpawnArea4,OMykiss,Smolt,0,0,0,0
1,1,11/04/2005,SpawnArea4,OMykiss,Prespawn,0,0,0,0
1,1,11/04/2005,Kanaka,OMykiss,Juvenile,0,0,0,0
1,1,11/04/2005,Kanaka,OMykiss,Adult,0,0,0,0
1,1,11/04/2005,Kanaka,OMykiss,Presmolt,0,0,0,0
1,1,11/04/2005,Kanaka,OMykiss,Smolt,0,0,0,0
1,1,11/04/2005,Kanaka,OMykiss,Prespawn,0,0,0,0
1,1,11/04/2005,AboveIgo,OMykiss,Juvenile,0,0,0,0
1,1,11/04/2005,AboveIgo,OMykiss,Adult,0,0,0,0
1,1,11/04/2005,AboveIgo,OMykiss,Presmolt,0,0,0,0
1,1,11/04/2005,AboveIgo,OMykiss,Smolt,0,0,0,0
1,1,11/04/2005,AboveIgo,OMykiss,Prespawn,0,0,0,0
1,1,11/05/2005,DogGulch,OMykiss,Juvenile,0,0,0,0
1,1,11/05/2005,DogGulch,OMykiss,Adult,0,0,0,0
1,1,11/05/2005,DogGulch,OMykiss,Presmolt,0,0,0,0
1,1,11/05/2005,DogGulch,OMykiss,Smolt,0,0,0,0
1,1,11/05/2005,DogGulch,OMykiss,Prespawn,0,0,0,0
1,1,11/05/2005,SpawnArea4,OMykiss,Juvenile,0,0,0,0
1,1,11/05/2005,SpawnArea4,OMykiss,Adult,0,0,0,0
1,1,11/05/2005,SpawnArea4,OMykiss,Presmolt,0,0,0,0
1,1,11/05/2005,SpawnArea4,OMykiss,Smolt,0,0,0,0
1,1,11/05/2005,SpawnArea4,OMykiss,Prespawn,0,0,0,0
1,1,11/05/2005,Kanaka,OMykiss,Juvenile,0,0,0,0
1,1,11/05/2005,Kanaka,OMykiss,Adult,0,0,0,0
1,1,11/05/2005,Kanaka,OMykiss,Presmolt,0,0,0,0
1,1,11/05/2005,Kanaka,OMykiss,Smolt,0,0,0,0
1,1,11/05/2005,Kanaka,OMykiss,Prespawn,0,0,0,0
1,1,11/05/2005,AboveIgo,OMykiss,Juvenile,0,0,0,0
1,1,11/05/2005,AboveIgo,OMykiss,Adult,0,0,0,0
1,1,11/05/2005,AboveIgo,OMykiss,Presmolt,0,0,0,0
1,1,11/05/2005,AboveIgo,OMykiss,Smolt,0,0,0,0
1,1,11/05/2005,AboveIgo,OMykiss,Prespawn,0,0,0,0
1,1,11/06/2005,DogGulch,OMykiss,Juvenile,0,0,0,0
1,1,11/06/2005,DogGulch,OMykiss,Adult,0,0,0,0
1,1,11/06/2005,DogGulch,OMykiss,Presmolt,0,0,0,0
1,1,11/06/2005,DogGulch,OMykiss,Smolt,0,0,0,0
1,1,11/06/2005,DogGulch,OMykiss,Prespawn,0,0,0,0
1,1,11/06/2005,SpawnArea4,OMykiss,Juvenile,0,0,0,0
1,1,11/06/2005,SpawnArea4,OMykiss,Adult,0,0,0,0
1,1,11/06/2005,SpawnArea4,OMykiss,Presmolt,0,0,0,0
1,1,11/06/2005,SpawnArea4,OMykiss,Smolt,0,0,0,0
1,1,11/06/2005,SpawnArea4,OMykiss,Prespawn,0,0,0,0
1,1,11/06/2005,Kanaka,OMykiss,Juvenile,0,0,0,0
1,1,11/06/2005,Kanaka,OMykiss,Adult,0,0,0,0
1,1,11/06/2005,Kanaka,OMykiss,Presmolt,0,0,0,0
1,1,11/06/2005,Kanaka,OMykiss,Smolt,0,0,0,0
1,1,11/06/2005,Kanaka,OMykiss,Prespawn,0,0,0,0
1,1,11/06/2005,AboveIgo,OMykiss,Juvenile,0,0,0,0
1,1,11/06/2005,AboveIgo,OMykiss,Adult,0,0,0,0
1,1,11/06/2005,AboveIgo,OMykiss,Presmolt,0,0,0,0
1,1,11/06/2005,AboveIgo,OMykiss,Smolt,0,0,0,0
1,1,11/06/2005,AboveIgo,OMykiss,Prespawn,0,0,0,0
1,1,11/07/2005,DogGulch,OMykiss,Juvenile,0,0,0,0
1,1,11/07/2005,DogGulch,OMykiss,Adult,0,0,0,0
1,1,11/07/2005,DogGulch,OMykiss,Presmolt,0,0,0,0
1,1,11/07/2005,DogGulch,OMykiss,Smolt,0,0,0,0
1,1,11/07/2005,DogGulch,OMykiss,Prespawn,0,0,0,0
1,1,11/07/2005,SpawnArea4,OMykiss,Juvenile,0,0,0,0
1,1,11/07/2005,SpawnArea4,OMykiss,Adult,0,0,0,0
1,1,11/07/2005,SpawnArea4,OMykiss,Presmolt,0,0,0,0
1,1,11/07/2005,SpawnArea4,OMykiss,Smolt,0,0,0,0
1,1,11/07/2005,SpawnArea4,OMykiss,Prespawn,0,0,0,0
1,1,11/07/2005,Kanaka,OMykiss,Juvenile,0,0,0,0
1,1,11/07/2005,Kanaka,OMykiss,Adult,0,0,0,0
1,1,11/07/2005,Kanaka,OMykiss,Presmolt,0,0,0,0
1,1,11/07/2005,Kanaka,OMykiss,Smolt,0,0,0,0
1,1,11/07/2005,Kanaka,OMykiss,Prespawn,0,0,0,0
1,1,11/07/2005,AboveIgo,OMykiss,Juvenile,0,0,0,0
1,1,11/07/2005,AboveIgo,OMykiss,Adult,0,0,0,0
1,1,11/07/2005,AboveIgo,OMykiss,Presmolt,0,0,0,0
1,1,11/07/2005,AboveIgo,OMykiss,Smolt,0,0,0,0
1,1,11/07/2005,AboveIgo,OMykiss,Prespawn,0,0,0,0
1,1,11/08/2005,DogGulch,OMykiss,Juvenile,0,0,0,0
1,1,11/08/2005,DogGulch,OMykiss,Adult,0,0,0,0
1,1,11/08/2005,DogGulch,OMykiss,Presmolt,0,0,0,0
1,1,11/08/2005,DogGulch,OMykiss,Smolt,0,0,0,0
1,1,11/08/2005,DogGulch,OMykiss,Prespawn,0,0,0,0
1,1,11/08/2005,SpawnArea4,OMykiss,Juvenile,0,0,0,0
1,1,11/08/2005,SpawnArea4,OMykiss,Adult,0,0,0,0
1,1,11/08/2005,SpawnArea4,OMykiss,Presmolt,0,0,0,0
1,1,11/08/2005,SpawnArea4,OMykiss,Smolt,0,0,0,0
1,1,11/08/2005,SpawnArea4,OMykiss,Prespawn,0,0,0,0
1,1,11/08/2005,Kanaka,OMykiss,Juvenile,0,0,0,0
1,1,11/08/2005,Kanaka,OMykiss,Adult,0,0,0,0
1,1,11/08/2005,Kanaka,OMykiss,Presmolt,0,0,0,0
1,1,11/08/2005,Kanaka,OMykiss,Smolt,0,0,0,0
1,1,11/08/2005,Kanaka,OMykiss,Prespawn,0,0,0,0
1,1,11/08/2005,AboveIgo,OMykiss,Juvenile,0,0,0,0
1,1,11/08/2005,AboveIgo,OMykiss,Adult,0,0,0,0
1,1,11/08/2005,AboveIgo,OMykiss,Presmolt,0,0,0,0
1,1,11/08/2005,AboveIgo,OMykiss,Smolt,0,0,0,0
1,1,11/08/2005,AboveIgo,OMykiss,Prespawn,0,0,0,0
1,1,11/09/2005,DogGulch,OMykiss,Juvenile,0,0,0,0
1,1,11/09/2005,DogGulch,OMykiss,Adult,0,0,0,0
1,1,11/09/2005,DogGulch,OMykiss,Presmolt,0,0,0,0
1,1,11/09/2005,DogGulch,OMykiss,Smolt,0,0,0,0
1,1,11/09/2005,DogGulch,OMykiss,Prespawn,0,0,0,0
1,1,11/09/2005,SpawnArea4,OMykiss,Juvenile,0,0,0,0
1,1,11/09/2005,SpawnArea4,OMykiss,Adult,0,0,0,0
1,1,11/09/2005,SpawnArea4,OMykiss,Presmolt,0,0,0,0
1,1,11/09/2005,SpawnArea4,OMykiss,Smolt,0,0,0,0
1,1,11/09/2005,SpawnArea4,OMykiss,Prespawn,0,0,0,0
1,1,11/09/2005,Kanaka,OMykiss,Juvenile,0,0,0,0
1,1,11/09/2005,Kanaka,OMykiss,Adult,0,0,0,0
1,1,11/09/2005,Kanaka,OMykiss,Presmolt,0,0,0,0
1,1,11/09/2005,Kanaka,OMykiss,Smolt,0,0,0,0
1,1,11/09/2005,Kanaka,OMykiss,Prespawn,0,0,0,0
1,1,11/09/2005,AboveIgo,OMykiss,Juvenile,0,0,0,0
1,1,11/09/2005,AboveIgo,OMykiss,Adult,0,0,0,0
1,1,11/09/2005,AboveIgo,OMykiss,Presmolt,0,0,0,0
1,1,11/09/2005,AboveIgo,OMykiss,Smolt,0,0,0,0
1,1,11/09/2005,AboveIgo,OMykiss,Prespawn,0,0,0,0
1,1,11/10/2005,DogGulch,OMykiss,Juvenile,0,0,0,0
1,1,11/10/2005,DogGulch,OMykiss,Adult,0,0,0,0
1,1,11/10/2005,DogGulch,OMykiss,Presmolt,0,0,0,0
1,1,11/10/2005,DogGulch,OMykiss,Smolt,0,0,0,0
1,1,11/10/2005,DogGulch,OMykiss,Prespawn,0,0,0,0
1,1,11/10/2005,SpawnArea4,OMykiss,Juvenile,0,0,0,0
1,1,11/10/2005,SpawnArea4,OMykiss,Adult,0,0,0,0
1,1,11/10/2005,SpawnArea4,OMykiss,Presmolt,0,0,0,0
1,1,11/10/2005,SpawnArea4,OMykiss,Smolt,0,0,0,0
1,1,11/10/2005,SpawnArea4,OMykiss,Prespawn,0,0,0,0
1,1,11/10/2005,Kanaka,OMykiss,Juvenile,0,0,0,0
1,1,11/10/2005,Kanaka,OMykiss,Adult,0,0,0,0
1,1,11/10/2005,Kanaka,OMykiss,Presmolt,0,0,0,0
1,1,11/10/2005,Kanaka,OMykiss,Smolt,0,0,0,0
1,1,11/10/2005,Kanaka,OMykiss,Prespawn,0,0,0,0
1,1,11/10/2005,AboveIgo,OMykiss,Juvenile,0,0,0,0
1,1,11/10/2005,AboveIgo,OMykiss,Adult,0,0,0,0
1,1,11/10/2005,AboveIgo,OMykiss,Presmolt,0,0,0,0
1,1,11/10/2005,AboveIgo,OMykiss,Smolt,0,0,0,0
1,1,11/10/2005,AboveIgo,OMykiss,Prespawn,0,0,0,0
