
Model Run System Date and Time: Tue 10-Jan-2012 16:52:ª

Scenario,Replicate,ReddID,SpawnerLength,SpawnerWeight,SpawnerAge,Species,Reach,CellNo,CreateDate,InitialViableEggs,EmptyDate,Dewatering,Scouring,LowTemp,HiTemp,Superimp,FryEmerged
1,1,01DAC9D8,18.228914,70.874310,3,Cutthroat,ExampleSmallSite,1707,04/05/2001,140,06/16/2001,0,0,0,1,0,139
1,1,01D7C8C8,13.683214,30.148263,2,Cutthroat,ExampleSmallSite,1707,04/05/2001,68,06/16/2001,0,0,0,4,0,64
1,1,01DA4ED0,11.242771,16.788982,1,Cutthroat,ExampleSmallSite,1103,04/05/2001,41,06/16/2001,0,0,0,1,0,40
1,1,01C9BCE0,10.732425,14.618451,1,Cutthroat,ExampleSmallSite,1707,04/06/2001,37,06/17/2001,0,0,0,1,6,30
1,1,01D58448,15.956977,47.666636,3,Cutthroat,ExampleSmallSite,1707,04/13/2001,100,06/21/2001,0,0,0,7,0,93
1,1,01E29F60,11.662491,18.726637,1,Cutthroat,ExampleSmallSite,1103,04/13/2001,45,06/21/2001,0,0,0,2,23,20
1,1,01D62900,10.955053,15.540782,1,Cutthroat,ExampleSmallSite,1707,04/13/2001,39,06/21/2001,0,0,0,2,0,37
1,1,01CD2E98,13.853514,31.274085,2,Cutthroat,ExampleSmallSite,1707,04/19/2001,70,06/24/2001,0,0,0,5,0,65
1,1,01CFC228,11.093880,16.135054,1,Cutthroat,ExampleSmallSite,1707,04/19/2001,40,06/24/2001,0,0,0,2,0,38
1,1,01D61C90,13.867572,31.374947,2,Cutthroat,ExampleSmallSite,1707,04/20/2001,70,06/25/2001,0,0,0,6,0,64
1,1,01C98F70,20.712007,103.696428,3,Cutthroat,ExampleSmallSite,1707,04/22/2001,193,06/26/2001,0,0,0,9,0,184
1,1,01DE1BA8,10.724371,14.585782,1,Cutthroat,ExampleSmallSite,1103,04/22/2001,37,06/26/2001,0,0,0,1,34,2
1,1,01D8A458,10.555337,13.911328,1,Cutthroat,ExampleSmallSite,1103,04/23/2001,35,06/27/2001,0,0,0,1,0,34
1,1,01D24E18,20.960012,107.435034,3,Cutthroat,ExampleSmallSite,1707,04/25/2001,199,06/28/2001,0,0,0,11,0,188
1,1,01D7C0B8,11.308780,17.084438,1,Cutthroat,ExampleSmallSite,1707,04/25/2001,42,06/28/2001,0,0,0,4,0,38
1,1,01DD3F30,17.510843,62.874817,2,Cutthroat,ExampleSmallSite,406,04/27/2001,126,06/30/2001,0,0,0,8,0,118
1,1,01CB0D70,11.343946,17.243239,1,Cutthroat,ExampleSmallSite,1707,04/27/2001,42,06/30/2001,0,0,0,3,0,39
1,1,01DF2ED8,11.358913,17.311124,1,Cutthroat,ExampleSmallSite,1707,04/28/2001,42,07/01/2001,0,0,0,3,0,39
1,1,01E3C2C0,11.383562,17.423311,1,Cutthroat,ExampleSmallSite,1707,04/29/2001,43,07/01/2001,0,0,0,3,0,40
1,1,01CBB258,13.946787,31.912049,2,Cutthroat,ExampleSmallSite,1707,04/30/2001,71,07/02/2001,0,0,0,4,0,67
1,1,01E3C7B8,11.356680,17.300987,1,Cutthroat,ExampleSmallSite,1707,05/03/2001,42,07/04/2001,0,0,0,3,0,39
1,1,01D56FB8,10.797341,14.883525,1,Cutthroat,ExampleSmallSite,1103,05/07/2001,37,07/07/2001,0,0,0,2,13,22
1,1,01E4E7B0,11.544287,18.166687,1,Cutthroat,ExampleSmallSite,1707,05/09/2001,44,07/09/2001,0,0,0,2,0,42
1,1,01CEF718,10.616512,14.099104,1,Cutthroat,ExampleSmallSite,1103,05/12/2001,36,07/11/2001,0,0,0,4,0,32
1,1,01D0C0D8,14.039936,32.551408,2,Cutthroat,ExampleSmallSite,1707,05/18/2001,72,07/16/2001,0,0,0,5,0,67
1,1,01E08198,11.367932,17.352118,1,Cutthroat,ExampleSmallSite,1103,05/27/2001,42,07/23/2001,0,0,0,3,0,39
1,1,01DB7DA8,12.105551,20.927421,1,Cutthroat,ExampleSmallSite,1103,05/30/2001,50,07/26/2001,0,0,0,5,0,45
1,1,01CF7910,10.762788,14.742039,1,Cutthroat,ExampleSmallSite,1707,04/01/2002,37,06/15/2002,0,0,0,2,0,35
1,1,01E85F48,11.048828,15.940576,1,Cutthroat,ExampleSmallSite,1707,04/04/2002,39,06/17/2002,0,0,0,2,0,37
1,1,01DA8A58,15.084904,40.316094,2,Cutthroat,ExampleSmallSite,1707,04/05/2002,87,06/18/2002,0,0,0,4,0,83
1,1,01D0A708,20.126812,95.207498,4,Cutthroat,ExampleSmallSite,1707,04/07/2002,179,06/19/2002,0,0,0,8,0,171
1,1,01D7C400,20.791509,104.887082,3,Cutthroat,ExampleSmallSite,1707,04/15/2002,195,06/26/2002,0,0,0,9,0,186
1,1,01D0F6B8,13.093650,26.440072,2,Cutthroat,ExampleSmallSite,1103,04/16/2002,61,06/27/2002,0,0,0,2,9,50
1,1,01CF82D0,16.411582,51.828663,3,Cutthroat,ExampleSmallSite,1707,04/18/2002,107,06/28/2002,0,0,0,5,0,102
1,1,01D097A8,11.489860,17.912640,2,Cutthroat,ExampleSmallSite,1103,04/19/2002,44,06/28/2002,0,0,0,0,0,44
1,1,01D6E510,11.817406,19.477702,1,Cutthroat,ExampleSmallSite,1707,04/20/2002,47,06/29/2002,0,0,0,2,0,45
1,1,01CF0E08,11.898513,19.878789,1,Cutthroat,ExampleSmallSite,1707,04/23/2002,48,07/01/2002,0,0,0,6,0,42
1,1,01CFACF0,18.367256,72.489259,4,Cutthroat,ExampleSmallSite,1707,04/24/2002,142,07/02/2002,0,0,0,4,0,138
1,1,01D4A0E8,11.394444,17.472992,1,Cutthroat,ExampleSmallSite,1707,04/29/2002,43,07/05/2002,0,0,0,1,0,42
1,1,01D080A8,15.736101,45.727256,2,Cutthroat,ExampleSmallSite,1707,05/03/2002,96,07/07/2002,0,0,0,4,0,92
1,1,01CCBCB0,22.925339,140.333920,4,Cutthroat,ExampleSmallSite,1707,05/08/2002,249,07/10/2002,0,0,0,17,0,232
1,1,01C8E478,10.189772,12.524253,1,Cutthroat,ExampleSmallSite,1103,05/10/2002,32,07/11/2002,0,0,0,1,3,28
1,1,01DB73A0,15.601239,44.569295,2,Cutthroat,ExampleSmallSite,406,05/15/2002,94,07/15/2002,0,0,0,6,0,88
1,1,01E50790,12.266461,21.767327,1,Cutthroat,ExampleSmallSite,1707,05/15/2002,51,07/15/2002,0,0,0,4,0,47
1,1,01D22508,10.479080,13.613966,1,Cutthroat,ExampleSmallSite,1103,05/16/2002,34,07/15/2002,0,0,0,4,0,30
1,1,01CC81E8,10.961771,15.569198,1,Cutthroat,ExampleSmallSite,1103,05/21/2002,39,07/19/2002,0,0,0,5,0,34
1,1,01DA7680,10.014478,11.893073,1,Cutthroat,ExampleSmallSite,1103,05/24/2002,31,07/20/2002,0,0,0,6,0,25
1,1,01D6E660,10.597221,14.062410,1,Cutthroat,ExampleSmallSite,1707,04/08/2003,35,06/19/2003,0,0,0,1,2,32
1,1,01DBDF78,11.992507,20.345242,2,Cutthroat,ExampleSmallSite,406,04/11/2003,49,06/22/2003,0,0,0,0,0,49
1,1,01CA4830,10.864786,15.162289,1,Cutthroat,ExampleSmallSite,1707,04/11/2003,38,06/22/2003,0,0,0,1,0,37
1,1,01E9A8A0,15.747642,45.801143,3,Cutthroat,ExampleSmallSite,406,04/12/2003,97,06/23/2003,0,0,0,1,0,96
1,1,01D38240,10.338208,13.075811,1,Cutthroat,ExampleSmallSite,1707,04/14/2003,33,06/24/2003,0,0,0,0,0,33
1,1,01E30C40,10.069926,12.090382,1,Cutthroat,ExampleSmallSite,1707,04/14/2003,31,06/24/2003,0,0,0,0,0,31
1,1,01D045B0,10.401625,13.316290,1,Cutthroat,ExampleSmallSite,1707,04/15/2003,34,06/25/2003,0,0,0,2,0,32
1,1,01D41330,10.804110,14.911349,1,Cutthroat,ExampleSmallSite,1707,04/21/2003,37,06/29/2003,0,0,0,2,0,35
1,1,01D33528,11.026536,15.844926,1,Cutthroat,ExampleSmallSite,1707,04/22/2003,39,06/30/2003,0,0,0,0,0,39
1,1,01D5ABD8,10.421167,13.390981,1,Cutthroat,ExampleSmallSite,1707,04/22/2003,34,06/30/2003,0,0,0,2,0,32
1,1,01DA7178,13.913509,31.685678,2,Cutthroat,ExampleSmallSite,1707,04/26/2003,71,07/03/2003,0,0,0,6,0,65
1,1,01D00858,11.279665,16.953694,1,Cutthroat,ExampleSmallSite,1707,04/26/2003,42,07/03/2003,0,0,0,1,0,41
1,1,01E90BE8,10.984274,15.664638,1,Cutthroat,ExampleSmallSite,1707,04/29/2003,39,07/05/2003,0,0,0,2,0,37
1,1,01E65B88,11.184015,16.491845,1,Cutthroat,ExampleSmallSite,1707,04/30/2003,41,07/06/2003,0,0,0,3,0,38
1,1,01D63A08,12.006116,20.419318,1,Cutthroat,ExampleSmallSite,1707,05/24/2003,49,07/23/2003,0,0,0,3,0,46
1,1,01D466F8,15.650155,44.987017,2,Cutthroat,ExampleSmallSite,1707,05/25/2003,95,07/24/2003,0,0,0,3,0,92
1,1,01E24C90,14.282368,34.255184,2,Cutthroat,ExampleSmallSite,1707,04/04/2004,76,06/13/2004,0,0,0,2,0,74
1,1,01D3D828,10.099623,12.196946,1,Cutthroat,ExampleSmallSite,1707,04/04/2004,31,06/13/2004,0,0,0,2,0,29
1,1,01EA6D18,11.167921,16.458084,1,Cutthroat,ExampleSmallSite,1707,04/05/2004,40,06/14/2004,0,0,0,1,0,39
1,1,01D81B88,11.188706,16.549530,1,Cutthroat,ExampleSmallSite,1707,04/06/2004,41,06/15/2004,0,0,0,1,0,40
1,1,01E81B80,10.575208,13.989516,1,Cutthroat,ExampleSmallSite,1707,04/06/2004,35,06/15/2004,0,0,0,1,0,34
1,1,01E15B30,10.865922,15.167016,1,Cutthroat,ExampleSmallSite,1707,04/08/2004,38,06/17/2004,0,0,0,2,0,36
1,1,01D7CA18,10.421711,13.393067,1,Cutthroat,ExampleSmallSite,1707,04/08/2004,34,06/17/2004,0,0,0,2,0,32
1,1,01CFCED0,11.244913,16.798513,1,Cutthroat,ExampleSmallSite,1707,04/09/2004,41,06/17/2004,0,0,0,1,0,40
1,1,01CFCC60,11.179881,16.510661,1,Cutthroat,ExampleSmallSite,1707,04/09/2004,41,06/17/2004,0,0,0,0,0,41
1,1,01CF8AF8,10.179503,12.486678,1,Cutthroat,ExampleSmallSite,1707,04/09/2004,32,06/17/2004,0,0,0,4,0,28
1,1,01CF9AE8,16.266108,50.471589,3,Cutthroat,ExampleSmallSite,406,04/10/2004,105,06/18/2004,0,0,0,5,0,100
1,1,01D3F6D0,11.297636,17.034316,1,Cutthroat,ExampleSmallSite,1707,04/10/2004,42,06/18/2004,0,0,0,3,0,39
1,1,01C9FC58,10.899130,15.305562,1,Cutthroat,ExampleSmallSite,1707,04/13/2004,38,06/21/2004,0,0,0,0,0,38
1,1,01CB5E80,14.487870,35.744994,2,Cutthroat,ExampleSmallSite,1707,04/16/2004,78,06/23/2004,0,0,0,5,0,73
1,1,01CAECC0,14.471561,35.625220,2,Cutthroat,ExampleSmallSite,1707,04/18/2004,78,06/24/2004,0,0,0,3,0,75
1,1,01DF3AF0,22.871545,139.348458,6,Cutthroat,ExampleSmallSite,406,04/27/2004,247,07/01/2004,0,0,0,12,0,235
1,1,01E887C0,11.718029,18.993644,1,Cutthroat,ExampleSmallSite,1707,05/07/2004,46,07/08/2004,0,0,0,2,0,44
1,1,01E58568,11.483200,17.881715,1,Cutthroat,ExampleSmallSite,1707,05/16/2004,43,07/14/2004,0,0,0,1,0,42
1,1,01D8BEC8,12.131662,21.062223,1,Cutthroat,ExampleSmallSite,1707,05/31/2004,50,07/25/2004,0,0,0,4,0,46
