"Hourly flow (m3/s), for default inSTREAM 6.0 project",
Values provided for water years 1995-99, Save in .csv format
Date,Hour,Green River flow (cms)
3/11/1996,8,77.6
3/11/1996,9,77.6
3/11/1996,10,77.6
3/11/1996,11,77.6
3/11/1996,12,77.6
3/11/1996,13,77.6
3/11/1996,14,77.6
3/11/1996,15,77.6
3/11/1996,16,77.6
3/11/1996,17,84.2
3/11/1996,18,93.6
3/11/1996,19,93.6
3/11/1996,20,93.6
3/11/1996,21,78.5
3/11/1996,22,66.2
3/11/1996,23,52
3/12/1996,0,50.1
3/12/1996,1,50.1
3/12/1996,2,50.1
3/12/1996,3,51.1
3/12/1996,4,50.1
3/12/1996,5,60.5
3/12/1996,6,75.7
3/12/1996,7,77.6
3/12/1996,8,77.6
3/12/1996,9,77.6
3/12/1996,10,77.6
3/12/1996,11,77.6
3/12/1996,12,77.6
3/12/1996,13,77.6
3/12/1996,14,77.6
3/12/1996,15,77.6
3/12/1996,16,77.6
3/12/1996,17,86.1
3/12/1996,18,92.7
3/12/1996,19,93.6
3/12/1996,20,93.6
3/12/1996,21,79.5
3/12/1996,22,66.2
3/12/1996,23,52
3/13/1996,0,50.1
3/13/1996,1,50.1
3/13/1996,2,50.1
3/13/1996,3,51.1
3/13/1996,4,50.1
3/13/1996,5,61.5
3/13/1996,6,76.6
3/13/1996,7,77.6
3/13/1996,8,77.6
3/13/1996,9,77.6
3/13/1996,10,77.6
3/13/1996,11,77.6
3/13/1996,12,77.6
3/13/1996,13,78.5
3/13/1996,14,77.6
3/13/1996,15,77.6
3/13/1996,16,78.5
3/13/1996,17,84.2
3/13/1996,18,92.7
3/13/1996,19,93.6
3/13/1996,20,92.7
3/13/1996,21,79.5
3/13/1996,22,67.2
3/13/1996,23,51.1
3/14/1996,0,50.1
3/14/1996,1,51.1
3/14/1996,2,50.1
3/14/1996,3,50.1
3/14/1996,4,50.1
3/14/1996,5,61.5
3/14/1996,6,76.6
3/14/1996,7,77.6
3/14/1996,8,77.6
3/14/1996,9,77.6
3/14/1996,10,77.6
3/14/1996,11,77.6
3/14/1996,12,78.5
3/14/1996,13,77.6
3/14/1996,14,77.6
3/14/1996,15,77.6
3/14/1996,16,78.5
3/14/1996,17,85.1
3/14/1996,18,92.7
3/14/1996,19,93.6
3/14/1996,20,93.6
3/14/1996,21,79.5
3/14/1996,22,66.2
3/14/1996,23,52
3/15/1996,0,50.1
3/15/1996,1,50.1
3/15/1996,2,50.1
3/15/1996,3,50.1
3/15/1996,4,50.1
3/15/1996,5,60.5
3/15/1996,6,76.6
3/15/1996,7,77.6
3/15/1996,8,77.6
3/15/1996,9,77.6
3/15/1996,10,77.6
3/15/1996,11,77.6
3/15/1996,12,77.6
3/15/1996,13,77.6
3/15/1996,14,76.6
3/15/1996,15,77.6
3/15/1996,16,78.5
3/15/1996,17,85.1
3/15/1996,18,92.7
3/15/1996,19,93.7
3/15/1996,20,92.7
3/15/1996,21,80.4
3/15/1996,22,66.2
3/15/1996,23,52
3/16/1996,0,50.1
3/16/1996,1,50.1
3/16/1996,2,50.1
3/16/1996,3,51.1
3/16/1996,4,50.1
3/16/1996,5,60.5
3/16/1996,6,76.6
3/16/1996,7,77.6
3/16/1996,8,78.5
3/16/1996,9,77.6
3/16/1996,10,77.6
3/16/1996,11,77.6
3/16/1996,12,77.6
3/16/1996,13,77.6
3/16/1996,14,77.6
3/16/1996,15,78.5
3/16/1996,16,77.6
3/16/1996,17,85.1
3/16/1996,18,92.7
3/16/1996,19,93.7
3/16/1996,20,92.7
3/16/1996,21,79.5
3/16/1996,22,66.2
3/16/1996,23,52
3/17/1996,0,50.1
3/17/1996,1,50.1
3/17/1996,2,51.1
3/17/1996,3,50.1
3/17/1996,4,50.1
3/17/1996,5,60.6
3/17/1996,6,76.7
3/17/1996,7,77.6
3/17/1996,8,77.6
3/17/1996,9,77.6
3/17/1996,10,77.6
3/17/1996,11,78.5
3/17/1996,12,77.6
3/17/1996,13,77.6
3/17/1996,14,77.6
3/17/1996,15,77.6
3/17/1996,16,78.5
3/17/1996,17,85.1
3/17/1996,18,92.7
3/17/1996,19,93.7
3/17/1996,20,92.7
3/17/1996,21,80.4
3/17/1996,22,66.2
3/17/1996,23,51.1
3/18/1996,0,50.1
3/18/1996,1,51.1
3/18/1996,2,50.1
3/18/1996,3,50.1
3/18/1996,4,50.1
3/18/1996,5,60.6
3/18/1996,6,75.7
3/18/1996,7,77.6
3/18/1996,8,77.6
3/18/1996,9,77.6
3/18/1996,10,77.6
3/18/1996,11,77.6
3/18/1996,12,77.6
3/18/1996,13,77.6
3/18/1996,14,77.6
3/18/1996,15,77.6
3/18/1996,16,77.6
3/18/1996,17,84.2
3/18/1996,18,91.8
3/18/1996,19,91.8
3/18/1996,20,92.7
3/18/1996,21,79.5
3/18/1996,22,65.3
3/18/1996,23,50.1
3/19/1996,0,50.1
3/19/1996,1,50.1
3/19/1996,2,50.1
3/19/1996,3,50.1
3/19/1996,4,49.2
3/19/1996,5,60.6
3/19/1996,6,75.7
3/19/1996,7,77.6
3/19/1996,8,78.6
3/19/1996,9,77.6
3/19/1996,10,77.6
3/19/1996,11,78.6
3/19/1996,12,77.6
3/19/1996,13,77.6
3/19/1996,14,77.6
3/19/1996,15,78.6
3/19/1996,16,77.6
3/19/1996,17,85.2
3/19/1996,18,91.8
3/19/1996,19,93.7
3/19/1996,20,92.7
3/19/1996,21,79.5
3/19/1996,22,66.3
3/19/1996,23,51.1
3/20/1996,0,49.2
3/20/1996,1,51.1
3/20/1996,2,50.2
3/20/1996,3,50.2
3/20/1996,4,51.1
3/20/1996,5,60.6
3/20/1996,6,76.7
3/20/1996,7,77.6
3/20/1996,8,77.6
3/20/1996,9,77.6
3/20/1996,10,77.6
3/20/1996,11,77.6
3/20/1996,12,76.7
3/20/1996,13,76.7
3/20/1996,14,78.6
3/20/1996,15,76.7
3/20/1996,16,77.6
3/20/1996,17,84.2
3/20/1996,18,93.7
3/20/1996,19,93.7
3/20/1996,20,92.8
3/20/1996,21,79.5
3/20/1996,22,66.3
3/20/1996,23,51.1
3/21/1996,0,50.2
3/21/1996,1,50.2
3/21/1996,2,50.2
3/21/1996,3,50.2
3/21/1996,4,51.1
3/21/1996,5,60.6
3/21/1996,6,74.8
3/21/1996,7,77.6
3/21/1996,8,78.6
3/21/1996,9,76.7
3/21/1996,10,77.6
3/21/1996,11,76.7
3/21/1996,12,77.6
3/21/1996,13,77.6
3/21/1996,14,78.6
3/21/1996,15,77.6
3/21/1996,16,76.7
3/21/1996,17,83.3
3/21/1996,18,91.8
3/21/1996,19,92.8
3/21/1996,20,91.8
3/21/1996,21,79.5
3/21/1996,22,65.3
3/21/1996,23,51.1
3/22/1996,0,50.2
3/22/1996,1,50.2
3/22/1996,2,50.2
3/22/1996,3,50.2
3/22/1996,4,50.2
3/22/1996,5,59.6
3/22/1996,6,76.7
3/22/1996,7,76.7
3/22/1996,8,77.6
3/22/1996,9,76.7
3/22/1996,10,77.6
3/22/1996,11,77.6
3/22/1996,12,77.6
3/22/1996,13,76.7
3/22/1996,14,78.6
3/22/1996,15,76.7
3/22/1996,16,78.6
3/22/1996,17,84.2
3/22/1996,18,92.8
3/22/1996,19,93.7
3/22/1996,20,92.8
3/22/1996,21,79.5
3/22/1996,22,66.3
3/22/1996,23,53
3/23/1996,0,50.2
3/23/1996,1,50.2
3/23/1996,2,50.2
3/23/1996,3,50.2
3/23/1996,4,51.1
3/23/1996,5,60.6
3/23/1996,6,76.7
3/23/1996,7,77.6
3/23/1996,8,77.6
3/23/1996,9,77.6
3/23/1996,10,77.6
3/23/1996,11,77.6
3/23/1996,12,77.6
3/23/1996,13,78.6
3/23/1996,14,77.6
3/23/1996,15,77.6
3/23/1996,16,77.6
3/23/1996,17,85.2
3/23/1996,18,93.7
3/23/1996,19,93.7
3/23/1996,20,92.8
3/23/1996,21,80.5
3/23/1996,22,66.3
3/23/1996,23,52.1
3/24/1996,0,50.2
3/24/1996,1,50.2
3/24/1996,2,50.2
3/24/1996,3,50.2
3/24/1996,4,51.1
3/24/1996,5,60.6
3/24/1996,6,76.7
3/24/1996,7,77.6
3/24/1996,8,77.6
3/24/1996,9,77.6
3/24/1996,10,78.6
3/24/1996,11,77.6
3/24/1996,12,77.6
3/24/1996,13,77.6
3/24/1996,14,77.6
3/24/1996,15,77.6
3/24/1996,16,78.6
3/24/1996,17,84.3
3/24/1996,18,92.8
3/24/1996,19,93.7
3/24/1996,20,93.7
3/24/1996,21,79.5
3/24/1996,22,66.3
3/24/1996,23,51.1
3/25/1996,0,50.2
3/25/1996,1,51.1
3/25/1996,2,50.2
3/25/1996,3,50.2
3/25/1996,4,50.2
3/25/1996,5,60.6
3/25/1996,6,75.7
3/25/1996,7,77.6
3/25/1996,8,77.6
3/25/1996,9,77.6
3/25/1996,10,77.6
3/25/1996,11,77.6
3/25/1996,12,77.6
3/25/1996,13,77.6
3/25/1996,14,77.6
3/25/1996,15,76.7
3/25/1996,16,77.6
3/25/1996,17,84.3
3/25/1996,18,92.8
3/25/1996,19,93.7
3/25/1996,20,93.7
3/25/1996,21,80.5
3/25/1996,22,65.3
3/25/1996,23,51.1
3/26/1996,0,50.2
3/26/1996,1,50.2
3/26/1996,2,51.1
3/26/1996,3,50.2
3/26/1996,4,50.2
3/26/1996,5,60.6
3/26/1996,6,76.7
3/26/1996,7,77.6
3/26/1996,8,76.7
3/26/1996,9,77.6
3/26/1996,10,77.6
3/26/1996,11,77.6
3/26/1996,12,77.6
3/26/1996,13,77.6
3/26/1996,14,77.6
3/26/1996,15,77.6
3/26/1996,16,78.6
3/26/1996,17,85.2
3/26/1996,18,92.8
3/26/1996,19,93.8
3/26/1996,20,92.8
3/26/1996,21,79.5
3/26/1996,22,66.3
3/26/1996,23,51.1
3/27/1996,0,51.1
3/27/1996,1,50.2
3/27/1996,2,50.2
3/27/1996,3,50.2
3/27/1996,4,50.2
3/27/1996,5,60.6
3/27/1996,6,76.7
3/27/1996,7,76.7
3/27/1996,8,77.7
3/27/1996,9,77.7
3/27/1996,10,77.7
3/27/1996,11,76.7
3/27/1996,12,77.7
3/27/1996,13,77.7
3/27/1996,14,76.7
3/27/1996,15,77.7
3/27/1996,16,78.6
3/27/1996,17,85.2
3/27/1996,18,92.8
3/27/1996,19,93.8
3/27/1996,20,93.8
3/27/1996,21,79.5
3/27/1996,22,66.3
3/27/1996,23,51.1
3/28/1996,0,50.2
3/28/1996,1,50.2
3/28/1996,2,51.1
3/28/1996,3,50.2
3/28/1996,4,50.2
3/28/1996,5,61.6
3/28/1996,6,76.7
3/28/1996,7,77.7
3/28/1996,8,77.7
3/28/1996,9,77.7
3/28/1996,10,77.7
3/28/1996,11,77.7
3/28/1996,12,77.7
3/28/1996,13,77.7
3/28/1996,14,77.7
3/28/1996,15,77.7
3/28/1996,16,77.7
3/28/1996,17,85.2
3/28/1996,18,92.8
3/28/1996,19,93.8
3/28/1996,20,92.8
3/28/1996,21,80.5
3/28/1996,22,65.4
3/28/1996,23,52.1
3/29/1996,0,50.2
3/29/1996,1,50.2
3/29/1996,2,50.2
3/29/1996,3,50.2
3/29/1996,4,50.2
3/29/1996,5,60.6
3/29/1996,6,76.7
3/29/1996,7,77.7
3/29/1996,8,76.7
3/29/1996,9,77.7
3/29/1996,10,77.7
3/29/1996,11,77.7
3/29/1996,12,77.7
3/29/1996,13,76.7
3/29/1996,14,77.7
3/29/1996,15,77.7
3/29/1996,16,77.7
3/29/1996,17,84.3
3/29/1996,18,92.8
3/29/1996,19,91.9
3/29/1996,20,93.8
3/29/1996,21,79.6
3/29/1996,22,65.4
3/29/1996,23,51.1
3/30/1996,0,50.2
3/30/1996,1,50.2
3/30/1996,2,50.2
3/30/1996,3,50.2
3/30/1996,4,50.2
3/30/1996,5,60.6
3/30/1996,6,76.7
3/30/1996,7,77.7
3/30/1996,8,77.7
3/30/1996,9,76.7
3/30/1996,10,77.7
3/30/1996,11,77.7
3/30/1996,12,77.7
3/30/1996,13,77.7
3/30/1996,14,77.7
3/30/1996,15,77.7
3/30/1996,16,77.7
3/30/1996,17,85.3
3/30/1996,18,92.8
3/30/1996,19,93.8
3/30/1996,20,92.8
3/30/1996,21,80.5
3/30/1996,22,65.4
3/30/1996,23,51.2
3/31/1996,0,50.2
3/31/1996,1,50.2
3/31/1996,2,50.2
3/31/1996,3,50.2
3/31/1996,4,51.2
3/31/1996,5,60.6
3/31/1996,6,75.8
3/31/1996,7,77.7
3/31/1996,8,77.7
3/31/1996,9,77.7
3/31/1996,10,77.7
3/31/1996,11,77.7
3/31/1996,12,76.7
3/31/1996,13,77.7
3/31/1996,14,77.7
3/31/1996,15,77.7
3/31/1996,16,77.7
3/31/1996,17,85.3
3/31/1996,18,92.9
3/31/1996,19,93.8
3/31/1996,20,92.9
3/31/1996,21,80.5
3/31/1996,22,65.4
3/31/1996,23,51.2
4/1/1996,0,50.2
4/1/1996,1,50.2
4/1/1996,2,50.2
4/1/1996,3,50.2
4/1/1996,4,50.2
4/1/1996,5,61.6
4/1/1996,6,75.8
4/1/1996,7,77.7
4/1/1996,8,77.7
4/1/1996,9,77.7
4/1/1996,10,77.7
4/1/1996,11,76.7
4/1/1996,12,77.7
4/1/1996,13,77.7
4/1/1996,14,76.7
4/1/1996,15,77.7
4/1/1996,16,78.6
4/1/1996,17,85.3
4/1/1996,18,92.9
4/1/1996,19,93.8
4/1/1996,20,92.9
4/1/1996,21,80.5
4/1/1996,22,65.4
4/1/1996,23,51.2
4/2/1996,0,50.2
4/2/1996,1,50.2
4/2/1996,2,50.2
4/2/1996,3,50.2
4/2/1996,4,50.2
4/2/1996,5,61.6
4/2/1996,6,75.8
4/2/1996,7,77.7
4/2/1996,8,77.7
4/2/1996,9,77.7
4/2/1996,10,76.8
4/2/1996,11,77.7
4/2/1996,12,77.7
4/2/1996,13,77.7
4/2/1996,14,77.7
4/2/1996,15,76.8
4/2/1996,16,77.7
4/2/1996,17,85.3
4/2/1996,18,92.9
4/2/1996,19,93.8
4/2/1996,20,93.8
4/2/1996,21,79.6
4/2/1996,22,66.3
4/2/1996,23,52.1
4/3/1996,0,50.2
4/3/1996,1,50.2
4/3/1996,2,50.2
4/3/1996,3,50.2
4/3/1996,4,50.2
4/3/1996,5,61.6
4/3/1996,6,76.8
4/3/1996,7,77.7
4/3/1996,8,77.7
4/3/1996,9,77.7
4/3/1996,10,77.7
4/3/1996,11,77.7
4/3/1996,12,77.7
4/3/1996,13,77.7
4/3/1996,14,77.7
4/3/1996,15,77.7
4/3/1996,16,77.7
4/3/1996,17,84.3
4/3/1996,18,93.8
4/3/1996,19,92.9
4/3/1996,20,93.8
4/3/1996,21,78.7
4/3/1996,22,66.3
4/3/1996,23,51.2
4/4/1996,0,55.9
4/4/1996,1,61.6
4/4/1996,2,61.6
4/4/1996,3,60.7
4/4/1996,4,61.6
4/4/1996,5,61.6
4/4/1996,6,70.1
4/4/1996,7,79.6
4/4/1996,8,80.6
4/4/1996,9,79.6
4/4/1996,10,84.4
4/4/1996,11,85.3
4/4/1996,12,85.3
4/4/1996,13,89.1
4/4/1996,14,89.1
4/4/1996,15,89.1
4/4/1996,16,89.1
4/4/1996,17,90
4/4/1996,18,96.7
4/4/1996,19,98.6
4/4/1996,20,98.6
4/4/1996,21,85.3
4/4/1996,22,70.1
4/4/1996,23,62.6
4/5/1996,0,65.4
4/5/1996,1,65.4
4/5/1996,2,66.3
4/5/1996,3,66.3
4/5/1996,4,66.3
4/5/1996,5,66.3
4/5/1996,6,66.3
4/5/1996,7,79.6
4/5/1996,8,81.5
4/5/1996,9,92.9
4/5/1996,10,94.8
4/5/1996,11,93.8
4/5/1996,12,94.8
4/5/1996,13,98.6
4/5/1996,14,98.6
4/5/1996,15,99.5
4/5/1996,16,99.5
4/5/1996,17,98.6
4/5/1996,18,107.1
4/5/1996,19,108.1
4/5/1996,20,109
4/5/1996,21,94.8
4/5/1996,22,81.5
4/5/1996,23,71.1
4/6/1996,0,66.3
4/6/1996,1,65.4
4/6/1996,2,66.3
4/6/1996,3,65.4
4/6/1996,4,66.3
4/6/1996,5,66.3
4/6/1996,6,66.3
4/6/1996,7,79.6
4/6/1996,8,80.6
4/6/1996,9,92.9
4/6/1996,10,93.8
4/6/1996,11,94.8
4/6/1996,12,94.8
4/6/1996,13,98.6
4/6/1996,14,99.5
4/6/1996,15,99.5
4/6/1996,16,99.5
4/6/1996,17,98.6
4/6/1996,18,108.1
4/6/1996,19,108.1
4/6/1996,20,108.1
4/6/1996,21,95.7
4/6/1996,22,81.5
4/6/1996,23,70.1
4/7/1996,0,66.4
4/7/1996,1,65.4
4/7/1996,2,63.5
4/7/1996,3,65.6
4/7/1996,4,65.4
4/7/1996,5,66.4
4/7/1996,6,66.4
4/7/1996,7,79.7
4/7/1996,8,80.6
4/7/1996,9,93.9
4/7/1996,10,94.8
4/7/1996,11,93.9
4/7/1996,12,94.8
4/7/1996,13,98.6
4/7/1996,14,99.6
4/7/1996,15,99.6
4/7/1996,16,99.6
4/7/1996,17,99.6
4/7/1996,18,108.1
4/7/1996,19,108.1
4/7/1996,20,109
4/7/1996,21,95.8
4/7/1996,22,81.5
4/7/1996,23,72.1
4/8/1996,0,84.4
4/8/1996,1,85.3
4/8/1996,2,86.3
4/8/1996,3,86.3
4/8/1996,4,86.3
4/8/1996,5,85.3
4/8/1996,6,86.3
4/8/1996,7,85.3
4/8/1996,8,86.3
4/8/1996,9,86.3
4/8/1996,10,85.3
4/8/1996,11,85.3
4/8/1996,12,84.4
4/8/1996,13,86.3
4/8/1996,14,85.3
4/8/1996,15,84.4
4/8/1996,16,85.3
4/8/1996,17,85.3
4/8/1996,18,86.3
4/8/1996,19,84.4
4/8/1996,20,84.4
4/8/1996,21,84.4
4/8/1996,22,84.4
4/8/1996,23,84.4
4/9/1996,0,85.3
4/9/1996,1,84.4
4/9/1996,2,85.3
4/9/1996,3,84.4
4/9/1996,4,86.3
4/9/1996,5,86.3
4/9/1996,6,85.3
4/9/1996,7,86.3
4/9/1996,8,86.3
4/9/1996,9,86.3
4/9/1996,10,85.3
4/9/1996,11,86.3
4/9/1996,12,86.3
4/9/1996,13,86.3
4/9/1996,14,86.3
4/9/1996,15,85.3
4/9/1996,16,86.3
4/9/1996,17,86.3
4/9/1996,18,86.3
4/9/1996,19,86.3
4/9/1996,20,86.3
4/9/1996,21,85.3
4/9/1996,22,86.3
4/9/1996,23,86.3
4/10/1996,0,86.3
4/10/1996,1,86.3
4/10/1996,2,85.4
4/10/1996,3,86.3
4/10/1996,4,86.3
4/10/1996,5,86.3
4/10/1996,6,86.3
4/10/1996,7,86.3
4/10/1996,8,86.3
4/10/1996,9,85.4
4/10/1996,10,86.3
4/10/1996,11,86.3
4/10/1996,12,86.3
4/10/1996,13,85.4
4/10/1996,14,86.3
4/10/1996,15,86.3
4/10/1996,16,86.3
4/10/1996,17,86.3
4/10/1996,18,85.4
4/10/1996,19,86.3
4/10/1996,20,86.3
4/10/1996,21,86.3
4/10/1996,22,86.3
4/10/1996,23,85.4
4/11/1996,0,86.3
4/11/1996,1,86.3
4/11/1996,2,86.3
4/11/1996,3,86.3
4/11/1996,4,85.4
4/11/1996,5,86.3
4/11/1996,6,86.3
4/11/1996,7,86.3
4/11/1996,8,86.3
4/11/1996,9,86.3
4/11/1996,10,86.3
4/11/1996,11,86.3
4/11/1996,12,86.3
4/11/1996,13,86.3
4/11/1996,14,85.4
4/11/1996,15,86.3
4/11/1996,16,86.3
4/11/1996,17,86.3
4/11/1996,18,86.3
4/11/1996,19,86.3
4/11/1996,20,86.3
4/11/1996,21,86.3
4/11/1996,22,85.4
4/11/1996,23,86.3
4/12/1996,0,86.3
4/12/1996,1,86.3
4/12/1996,2,86.3
4/12/1996,3,86.3
4/12/1996,4,86.3
4/12/1996,5,85.4
4/12/1996,6,86.3
4/12/1996,7,86.3
4/12/1996,8,86.3
4/12/1996,9,86.3
4/12/1996,10,86.3
4/12/1996,11,86.3
4/12/1996,12,86.3
4/12/1996,13,85.4
4/12/1996,14,86.3
4/12/1996,15,86.3
4/12/1996,16,86.3
4/12/1996,17,86.3
4/12/1996,18,86.3
4/12/1996,19,86.3
4/12/1996,20,86.3
4/12/1996,21,86.3
4/12/1996,22,86.3
4/12/1996,23,85.4
4/13/1996,0,86.3
4/13/1996,1,86.3
4/13/1996,2,77.8
4/13/1996,3,81.6
4/13/1996,4,86.3
4/13/1996,5,86.3
4/13/1996,6,86.3
4/13/1996,7,85.4
4/13/1996,8,86.3
4/13/1996,9,86.3
4/13/1996,10,86.3
4/13/1996,11,85.4
4/13/1996,12,86.3
4/13/1996,13,86.3
4/13/1996,14,86.3
4/13/1996,15,86.3
4/13/1996,16,85.4
4/13/1996,17,86.3
4/13/1996,18,86.3
4/13/1996,19,85.4
4/13/1996,20,86.3
4/13/1996,21,86.3
4/13/1996,22,86.3
4/13/1996,23,86.3
4/14/1996,0,85.4
4/14/1996,1,86.3
4/14/1996,2,86.3
4/14/1996,3,86.3
4/14/1996,4,85.4
4/14/1996,5,86.3
4/14/1996,6,86.3
4/14/1996,7,86.3
4/14/1996,8,86.3
4/14/1996,9,85.4
4/14/1996,10,86.3
4/14/1996,11,86.3
4/14/1996,12,86.3
4/14/1996,13,86.3
4/14/1996,14,86.3
4/14/1996,15,86.3
4/14/1996,16,86.3
4/14/1996,17,86.3
4/14/1996,18,86.3
4/14/1996,19,86.3
4/14/1996,20,86.3
4/14/1996,21,86.3
4/14/1996,22,86.3
4/14/1996,23,86.3
4/15/1996,0,86.3
4/15/1996,1,86.3
4/15/1996,2,86.3
4/15/1996,3,86.3
4/15/1996,4,86.3
4/15/1996,5,86.3
4/15/1996,6,86.3
4/15/1996,7,86.3
4/15/1996,8,86.3
4/15/1996,9,86.3
4/15/1996,10,86.3
4/15/1996,11,86.3
4/15/1996,12,86.3
4/15/1996,13,86.3
4/15/1996,14,86.3
4/15/1996,15,86.3
4/15/1996,16,86.3
4/15/1996,17,86.3
4/15/1996,18,85.4
4/15/1996,19,86.3
4/15/1996,20,86.3
4/15/1996,21,86.3
4/15/1996,22,86.3
4/15/1996,23,86.3
4/16/1996,0,86.4
4/16/1996,1,86.4
4/16/1996,2,86.4
4/16/1996,3,86.4
4/16/1996,4,86.4
4/16/1996,5,86.4
4/16/1996,6,86.4
4/16/1996,7,86.4
4/16/1996,8,86.4
4/16/1996,9,86.4
4/16/1996,10,86.4
4/16/1996,11,84.4
4/16/1996,12,85.4
4/16/1996,13,84.4
4/16/1996,14,86.4
4/16/1996,15,84.4
4/16/1996,16,86.4
4/16/1996,17,86.4
4/16/1996,18,86.4
4/16/1996,19,86.4
4/16/1996,20,86.4
4/16/1996,21,86.4
4/16/1996,22,85.4
4/16/1996,23,85.4
4/17/1996,0,86.4
4/17/1996,1,84.5
4/17/1996,2,83.5
4/17/1996,3,85.4
4/17/1996,4,85.4
4/17/1996,5,85.4
4/17/1996,6,84.5
4/17/1996,7,85.4
4/17/1996,8,85.4
4/17/1996,9,86.4
4/17/1996,10,85.4
4/17/1996,11,84.5
4/17/1996,12,86.4
4/17/1996,13,86.4
4/17/1996,14,86.4
4/17/1996,15,86.4
4/17/1996,16,86.4
4/17/1996,17,86.4
4/17/1996,18,86.4
4/17/1996,19,86.4
4/17/1996,20,86.4
4/17/1996,21,86.4
4/17/1996,22,86.4
4/17/1996,23,86.4
4/18/1996,0,86.4
4/18/1996,1,86.4
4/18/1996,2,86.4
4/18/1996,3,86.4
4/18/1996,4,86.4
4/18/1996,5,86.4
4/18/1996,6,86.4
4/18/1996,7,86.4
4/18/1996,8,86.4
4/18/1996,9,86.4
4/18/1996,10,85.4
4/18/1996,11,86.4
4/18/1996,12,86.4
4/18/1996,13,86.4
4/18/1996,14,86.4
4/18/1996,15,87.3
4/18/1996,16,86.4
4/18/1996,17,86.4
4/18/1996,18,86.4
4/18/1996,19,86.4
4/18/1996,20,86.4
4/18/1996,21,87.3
4/18/1996,22,86.4
4/18/1996,23,85.4
4/19/1996,0,86.4
4/19/1996,1,86.4
4/19/1996,2,86.4
4/19/1996,3,87.3
4/19/1996,4,86.4
4/19/1996,5,86.4
4/19/1996,6,86.4
4/19/1996,7,86.4
4/19/1996,8,86.4
4/19/1996,9,85.4
4/19/1996,10,84.5
4/19/1996,11,86.4
4/19/1996,12,85.4
4/19/1996,13,85.4
4/19/1996,14,86.4
4/19/1996,15,86.4
4/19/1996,16,84.5
4/19/1996,17,86.4
4/19/1996,18,85.4
4/19/1996,19,86.4
4/19/1996,20,85.4
4/19/1996,21,86.4
4/19/1996,22,84.5
4/19/1996,23,83.5
4/20/1996,0,84.5
4/20/1996,1,84.5
4/20/1996,2,85.4
4/20/1996,3,85.4
4/20/1996,4,86.4
4/20/1996,5,85.4
4/20/1996,6,86.4
4/20/1996,7,86.4
4/20/1996,8,86.4
4/20/1996,9,86.4
4/20/1996,10,86.4
4/20/1996,11,86.4
4/20/1996,12,86.4
4/20/1996,13,86.4
4/20/1996,14,86.4
4/20/1996,15,86.4
4/20/1996,16,86.4
4/20/1996,17,86.4
4/20/1996,18,86.4
4/20/1996,19,86.4
4/20/1996,20,86.4
4/20/1996,21,86.4
4/20/1996,22,85.4
4/20/1996,23,86.4
4/21/1996,0,86.4
4/21/1996,1,86.4
4/21/1996,2,86.4
4/21/1996,3,86.4
4/21/1996,4,86.4
4/21/1996,5,86.4
4/21/1996,6,86.4
4/21/1996,7,86.4
4/21/1996,8,86.4
4/21/1996,9,86.4
4/21/1996,10,87.3
4/21/1996,11,86.4
4/21/1996,12,84.5
4/21/1996,13,84.5
4/21/1996,14,84.5
4/21/1996,15,84.5
4/21/1996,16,84.5
4/21/1996,17,84.5
4/21/1996,18,84.5
4/21/1996,19,84.5
4/21/1996,20,84.5
4/21/1996,21,84.5
4/21/1996,22,84.5
4/21/1996,23,84.5
4/22/1996,0,84.5
4/22/1996,1,84.5
4/22/1996,2,84.5
4/22/1996,3,84.5
4/22/1996,4,84.5
4/22/1996,5,85.5
4/22/1996,6,85.5
4/22/1996,7,85.5
4/22/1996,8,85.5
4/22/1996,9,85.5
4/22/1996,10,85.5
4/22/1996,11,85.5
4/22/1996,12,86.4
4/22/1996,13,85.5
4/22/1996,14,84.5
4/22/1996,15,85.5
4/22/1996,16,64.6
4/22/1996,17,48.4
4/22/1996,18,46.5
4/22/1996,19,46.5
4/22/1996,20,46.5
4/22/1996,21,46.5
4/22/1996,22,46.5
4/22/1996,23,47.5
4/23/1996,0,46.5
4/23/1996,1,70.3
4/23/1996,2,85.5
4/23/1996,3,86.4
4/23/1996,4,86.4
4/23/1996,5,86.4
4/23/1996,6,86.4
4/23/1996,7,85.5
4/23/1996,8,86.4
4/23/1996,9,85.5
4/23/1996,10,85.5
4/23/1996,11,85.5
4/23/1996,12,85.5
4/23/1996,13,73.1
4/23/1996,14,48.4
4/23/1996,15,46.5
4/23/1996,16,46.5
4/23/1996,17,46.5
4/23/1996,18,46.5
4/23/1996,19,46.5
4/23/1996,20,46.5
4/23/1996,21,47.5
4/23/1996,22,69.3
4/23/1996,23,84.5
4/24/1996,0,85.5
4/24/1996,1,85.5
4/24/1996,2,85.5
4/24/1996,3,85.5
4/24/1996,4,85.5
4/24/1996,5,85.5
4/24/1996,6,85.5
4/24/1996,7,86.4
4/24/1996,8,85.5
4/24/1996,9,85.5
4/24/1996,10,86.4
4/24/1996,11,86.4
4/24/1996,12,85.5
4/24/1996,13,85.5
4/24/1996,14,85.5
4/24/1996,15,84.5
4/24/1996,16,85.5
4/24/1996,17,85.5
4/24/1996,18,85.5
4/24/1996,19,85.5
4/24/1996,20,85.5
4/24/1996,21,85.5
4/24/1996,22,85.5
4/24/1996,23,85.5
4/25/1996,0,85.5
